toxic,stf_mode,val_ic,oos_ic,collapse,aux_val,sigma_h,stf_rho,stf_w
rank_only,off,0.024551175329688202,0.05699890058475033,0.24955476820468903,0.4684332884848118,153.94573974609375,nan,nan
rank_only,stf0,0.043252707575215606,0.019491239706880763,0.04437384009361267,0.5052618123590946,29.667221069335938,nan,nan
rank_only,hard,0.057057456445187,0.04456600150265276,0.2574227452278137,0.468417164683342,157.6079864501953,1.4143923010578874e-07,1.0
rank_only,soft,0.06017800289284604,0.0038225271098563307,0.3416268527507782,0.4990116972476244,207.58636474609375,9.96146312104429e-08,0.5399146676063538
rank_w1_k8,off,0.07647084362839275,-0.011788500662317956,0.06918500363826752,0.46338658407330513,56.14912414550781,nan,nan
rank_w1_k8,stf0,0.06066842822424998,-0.060793009865120165,0.05393476411700249,0.5326451092958451,38.167572021484375,nan,nan
rank_w1_k8,hard,0.12293574753983683,-0.019443545623419812,0.06943356990814209,0.46887346506118777,56.06578063964844,3.9201836443680804e-07,1.0
rank_w1_k8,soft,0.1972959034546929,0.05034514601636676,0.12460476160049438,0.5104202946648002,99.57449340820312,2.375773533458414e-07,0.5399144291877747
rank_w5_k16,off,0.09072269371356152,0.010858259243139143,0.09496868401765823,0.45470841564238074,76.49201965332031,nan,nan
rank_w5_k16,stf0,0.1035426718631226,0.03937615328008517,0.036202624440193176,0.4905323267914355,25.49295425415039,nan,nan
rank_w5_k16,hard,0.14984460186804793,-0.0022029063069843894,0.08918645977973938,0.47061802400276065,72.8305892944336,3.965314476772619e-07,1.0
rank_w5_k16,soft,0.19797654338453022,0.0047414770113449215,0.10424671322107315,0.493579725921154,81.90640258789062,3.054957460335572e-07,0.5399142503738403
rank_w20_k64,off,-0.040305511333080496,-0.06930545842945846,0.010632552206516266,0.5083647046238184,9.121746063232422,nan,nan
rank_w20_k64,stf0,0.044401534096484965,0.06882261271784483,0.02685554325580597,0.4872850779443979,22.54570198059082,nan,nan
rank_w20_k64,hard,-0.02248336526122345,-0.13851803533412527,0.010413892567157745,0.5068593673408032,9.075942993164062,2.685279696379439e-06,1.0
rank_w20_k64,soft,-0.02037638001739412,-0.1886914898783136,0.01046915352344513,0.506888959184289,9.095027923583984,2.7084097382612526e-06,0.5399094820022583
rank_w100_k64,off,0.04005390359830755,-0.05500117311857369,0.010684615932404995,0.5074754502624274,9.177094459533691,nan,nan
rank_w100_k64,stf0,0.044401534096484965,0.06882261271784483,0.02685554325580597,0.4872850779443979,22.54570198059082,nan,nan
rank_w100_k64,hard,0.04027772877890641,-0.03558390983902417,0.010727591812610626,0.5074872158467769,9.21045970916748,2.664468638613471e-06,1.0
rank_w100_k64,soft,0.041111973228736685,-0.011058971320582166,0.0004495978355407715,0.4956304742605425,0.4357977509498596,2.967786895169411e-05,0.5398558974266052
